Date and time: 2022-11-22 15:46:19.625271
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/morley/photos
paper_area = 3221mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/morley/photos/template/template2.jpg
leaves parameters[0, 71, 0, 255, 109, 255]
roots parameters[68, 255, 0, 255, 109, 255]
seeds parameters[0, 29, 115, 255, 133, 255]
blur parameters[9, 1, 112]

,1,hg
0,109.8704941676072,78.00780637482832
1,,
2,83.83441821656535,60.05498780858823
3,190.21625652498136,109.48393877602194
4,74.06664060747188,46.69381289519783
5,142.52876318312556,
6,102.69920572815126,62.10441880996793
7,105.09713882020486,57.838623410919986
8,1.9630580663205768,83.66070554806531
9,155.50335570469798,
10,53.929871850099346,81.43365791040569
11,201.38702460850112,66.47991645008256
12,83.407782058051,36.7543039227172
13,158.69209363234572,140.17801071827995
14,94.27865144338547,41.023866553388636
15,294.00888552793265,48.91353732865549
16,103.4762331208874,37.47905492236817
17,126.67010841507485,
18,53.544192798409604,59.34766260982272
19,183.6195851128737,
20,62.10955509395899,65.80641669097675
21,350.9661896922882,
22,74.39027941237802,133.06817843239833
23,224.59149148593931,0.21243664420697278
24,,104.01317876721545
25,,0.011900469532589646
26,,
27,,
28,,76.29182801378127
29,,
30,81.07213850459647,214.94350532482454
31,,
32,,
33,,0.07008054280302792
34,,29.54566773538274
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
