Date and time: 2022-11-18 18:40:10.604462
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/morley/photos
paper_area = 3211mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/morley/photos/template/template2.jpg
leaves parameters[0, 50, 0, 255, 157, 255]
roots parameters[91, 255, 0, 255, 157, 255]
seeds parameters[0, 26, 83, 255, 157, 255]
blur parameters[7, 1, 83]

,1,hg
0,,142.41256304732792
1,,
2,121.19268152692656,68.35163517577017
3,359.96266500733367,103.99341503581846
4,233.7065669866621,84.36498014715981
5,141.9750719079578,
6,67.70338083686369,35.17882543848834
7,96.80817855470578,83.97603998818526
8,170.85497519696528,39.57965155340842
9,317.9520613614573,105.73447533967665
10,74.46679287332081,58.97045631548953
11,261.6890380313199,75.34478473783086
12,226.340742565113,38.565939291496285
13,263.1230425055928,
14,158.6026188555731,68.85750008647568
15,309.50422169300714,61.67762104547601
16,189.90919857876037,48.651076467131375
17,134.89272747276928,
18,96.85632840268838,66.5960260381037
19,,
20,176.9798657718121,45.79712725463764
21,385.86577181208054,
22,96.14037999963877,
23,,
24,,148.9510260631643
25,,
26,,
27,,
28,,
29,,
30,60.01294932465505,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,43.70394353004717
39,,
40,,
41,,
42,,
43,,
44,,96.12686161813428
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
