Date and time: 2022-11-23 16:39:11.240378
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/plants/for_git/Morley/photos
paper_area = 6241mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/plants/for_git/Morley/photos/template/template.JPG
leaves parameters[0, 56, 0, 255, 115, 255]
roots parameters[74, 255, 0, 255, 115, 255]
seeds parameters[0, 20, 97, 255, 115, 255]
blur parameters[7, 5, 142]

,4day,7day
95,8.02666546551957,47.9082965446676
96,10.692309246968799,41.1873339038782
97,15.258338617825524,
98,2080.679680346291,
99,,34.59329409454016
100,13.089500472951668,6.147061909581075
101,13.09856395953528,12.431872438178459
102,18.061682457972744,24.87353986226067
103,3508.3220677599265,9.729291473357055
104,,
105,17.017251475158776,
106,8.596539013443154,23.259795477450034
107,37.801491159355415,2.450375194197267
108,637.9711978689752,29.07977118147831
109,,30.06010763586987
110,9.810368902301697,28.6743840367551
111,18.134234103978844,
112,6.761005732119766,
113,816.6862565553982,
114,,51.96485325625239
115,28.07981622449439,3.2611143642178275
116,8.402486214042632,14.180615935937281
117,8.768937133194072,
118,738.7581786398068,
119,,
120,15.341651276969504,
121,5.967123581566073,28.91865207634533
122,6.6155034566795985,36.42178280257646
123,313.79039374011484,32.79829563195642
124,,
125,16.737984775460564,
126,6.5201740598575615,
127,,
128,351.715391659036,
129,,8.936534390342777
130,8.630241880996351,20.516423196955067
131,18.38650274319952,
132,,
133,,
134,,
135,22.089095085806942,
136,95.30903242556671,
137,,9.963406686490112
138,,
139,,
140,,
141,6.568687259707692,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
